,Raga,Arohanam,Avarohanam
0,01 Kanakangi,S R1 G1 M1 P D1 N1 S,S N1 D1 P M1 G1 R1 S
1,Kanakambari,S R1 M1 P D1 S,S N1 D1 P M1 G1 R1 S
2,Kanakatodi,S R1 G1 M1 P D1 S,S N1 D1 P M1 R1 S
3,Madhavapriya,S R1 G1 P D1 N1 S,S N1 D1 P G1 R1 S
4,Karnataka Shuddha Saveri,S R1 M1 P D1 S,S D1 P M1 R1 S
5,Latantapriya,S R1 G1 M1 P D1 S,S D1 P M1 R1 S
6,Lavangi,S R1 M1 D1 S,S D1 M1 R1 S
7,Megha,S R1 M1 P D1 N1 D1 P S,S N1 D1 P M1 R1 S
8,Rishabhavilasa,S R1 M1 P D1 S,S D1 P M1 R1 M1 R1 S
9,Sarvashree,S M1 P S,S P M1 S
10,Suddha Mukhari,S R1 M1 P D1 S,S N1 D1 P M1 G1 R1 S
11,Tatillatika,S R1 M1 P D1 S,S D1 P M1 R1 S
12,Vageeshwari,S R1 G1 M1 P D1 S,S D1 M1 P G1 R1 S
13,02 Rathnangi,S R1 G1 M1 P D1 N2 S,S N2 D1 P M1 G1 R1 S
14,Phenadhyuti,S R1 M1 P D1 P N2 S,S N2 D1 P M1 G1 R1 S
15,Ganamukhari,S R1 M1 D1 S,S N2 D1 M1 R1 S
16,Ratnavarali,S R1 M1 P N2 D1 S,S N2 P M1 R1 G1 R1 S
17,Revati,S R1 M1 P N2 S,S N2 P M1 R1 S
18,Shreemani,S R1 G1 P D1 S,S N2 D1 P G1 R1 S
19,Shreemati,S R1 G1 P D1 S,S N2 D1 P G1 R1 S
20,Svadhya,S R1 M1 P N2 S,S N2 D1 P M1 R1 S
21,03 Ganamoorti,S R1 G1 M1 P D1 N3 S,S N3 D1 P M1 G1 R1 S
22,Ganasamavarali,S R1 M1 P D1 N3 S,S N3 D1 P M1 G1 R1 S
23,Bhinnapanchamam,S R1 G1 M1 P D1 N3 S,S N3 D1 P M1 G1 R1 S
24,Nadharanjani,S R1 M1 D1 N3 S,S N3 D1 M1 G1 R1 S
25,Poorvavarali,S R1 M1 P D1 S,S N3 D1 P M1 G1 R1 S
26,Samavarali,S R1 M1 P D1 N3 S,S N3 D1 P M1 G1 R1 G1 S
27,04 Vanaspati,S R1 G1 M1 P D2 N2 S,S N2 D2 P M1 G1 R1 S
28,Bhanumati,N2 S M1 P N2 S,S N2 D2 P M1 G2 R2 S
29,Rasali,S R1 M1 P D2 N2 S,S D2 P M1 R1 S
30,Vanavali,S R1 M1 P D2 N2 S,S D2 P M1 R1 S
31,Vittalapriya,S R1 M1 P D2 S,S D2 P M1 R1 S
32,05 Manavati,S R1 G1 M1 P D2 N3 S,S N3 D2 P M1 G1 R1 S
33,Manoranjani,S R1 M1 P D2 N3 S,S N3 D2 P M1 G1 R1 S
34,Ghanashyamala,S G1 M1 P D2 S,S D2 N3 P M1 G1 R1 S
35,Kunjari,S R1 M1 P D2 P S,S N3 D2 P M1 G1 R1 S
36,06 Tanaroopi,S R1 G1 M1 P D3 N3 S,S N3 D3 P M1 G1 R1 S
37,Tanukeerti,S R1 M1 P N3 S,S N3 D3 N3 P M1 G1 M1 R1 S
38,07 Senavati,S R1 G2 M1 P D1 N1 S,S N1 D1 P M1 G2 R1 S
39,Senagrani,S R1 G2 R1 M1 G2 M1 P N1 D1 S,S N1 D1 P M1 G2 M1 G2 R1 S
40,Bhogi,S G2 M1 P D1 N1 D1 S,S N1 D1 P M1 G2 S
41,Chitthakarshani,S R1 G2 M1 D1 S,S D1 M1 G2 R1 S
42,Navarasa Mala,S R1 G2 M1 P D1 S,S N1 D1 P M1 R1 S
43,Sindhu Gowri,S R1 G2 M1 P D1 N1 S,S N1 D1 M1 G2 M1 R1 S
44,08 Hanumatodi,S R1 G2 M1 P D1 N2 S,S N2 D1 P M1 G2 R1 S
45,Janatodi,S R1 G2 M1 P D1 N2 S,S N2 D1 P M1 G2 R1 S
46,Amrita Dhanyasi,S R1 G2 M1 P N2 S,S N2 P M1 G2 R1 S
47,Asaveri,S R1 M1 P D1 S,S N2 S P D1 M1 P R1 G2 R1 S
48,Bhanuchandrika,S M1 D1 N2 S,S N2 D1 M1 G1 S
49,Bhadratodi,S R1 G2 M1 D1 S,S N2 D1 P G2 S
50,Bhoopalam,S R1 G2 P D1 S,S D1 P G2 R1 S
51,Chandrikatodi,S G2 M1 P D1 S,S D1 P M1 G2 S
52,Deshikatodi,S G2 M1 P D1 N2 S,S N2 D1 P M1 G2 R1 S
53,Dhanyasi,S G2 M1 P N2 S,S N2 D1 P M1 G2 R1 S
54,Divyamalati,S G2 M1 P D1 N2 S,S N2 D1 P M1 G2 S
55,Ghanta,S G2 R2 M1 P N2 S,S N2 D1 P M1 G2 R1 S
56,Kalasaveri,S R1 G2 P N2 S,S N2 P G2 R1 S
57,Kanakasaveri,S R1 M1 P D1 S,S N2 D1 P M1 G2 R1 S
58,Nagavarali,S R1 G2 M1 P M1 D1 N2 S,S N2 D1 P M1 G2 R1 S
59,Prabhupriya,S G2 M1 P D1 S,S D1 P M1 G2 S
60,Punnagatodi,N1 S R1 G2 M1 P,P M1 G2 R1 S N2 D1
61,Punnagavarali,N2 S R1 G2 M1 P D1 N2,N2 D1 P M1 G2 R1 S N2
62,Shravanamallika,S G2 M1 P D1 N2 S,S N2 D1 P M1 G2 R1 S
63,Sowjanya,S R1 M1 D1 S,S D1 M1 R1 S
64,Shuddha Seemantini,S R1 G2 M1 P D1 S,S D1 P M1 G2 R1 S
65,Shuddha Todi,S R1 G2 M1 D1 N2 S,S N2 D1 M1 G2 R1 S
66,Sindhubhairavi,S R2 G2 M1 G2 P D1 N2 S,N2 D1 P M1 G2 R1 S N2 S
67,Swarnamalli,S G2 M1 P D1 N1 S,S N2 D1 P M1 G2 R1 S
68,09 Dhenuka,S R1 G2 M1 P D1 N3 S,S N3 D1 P M1 G2 R1 S
69,Dhunibhinnashadjam,S R1 G2 R1 P M1 P N3 S,S D1 P M1 G2 R1 S
70,Bhinnashadjam,S R1 G2 R1 P M1 P N3 S,S D1 P M1 G2 R1 S
71,Mohananata,S G2 M1 P D1 P M1 P N3 S,S N3 P D1 P M1 G2 S
72,Udayaravichandrika,S G2 M1 P N3 S,S N3 P M1 G2 S
73,Vasanthatodi,S R1 G2 M1 D1 N3 S,S N3 D1 M1 R1 S
74,10 Natakapriya,S R1 G2 M1 P D2 N2 S,S N2 D2 P M1 G2 R1 S
75,Natabharanam,S R1 G2 M1 P D2 N2 S,S N2 D2 P M1 G2 R1 S
76,Alankarapriya,S R1 G2 M1 D2 N2 S,S N2 D2 M1 G2 R1 S
77,Bhagyashabari,S R1 G2 M1 D2 N2 S,S N2 D2 M1 G2 R1 S
78,Deeparamu,S R1 G2 M1 P D2 N2 S,S N2 D2 N2 P M1 G2 R1 S
79,Gunavati,S R1 M1 P D2 S,S D2 P M1 R1 S
80,Hindoladeshikam,S M1 R1 G2 M1 P D2 N2 S,S P N2 D2 M1 G2 R1 S
81,Kanakadri,S R1 G2 P D2 S,S N2 D2 P M1 G2 R1 S
82,Matangakamini,S G2 M1 P D1 N2 S,S N2 D1 P M1 G2 S
83,Natyadharana,S R1 M1 P D2 S,S N2 D2 P M1 R1 S
84,Niranjana,S R1 G2 M1 P D2 S,S N2 D2 P M1 G2 R1 S
85,Shanthabhashini,S R1 G2 M1 P D2 S,S N2 D2 P M1 S
86,Shivashakti,S G2 M1 D2 S,S N2 D2 M1 G2 S
87,11 Kokilapriyaa,S R1 G2 M1 P D2 N3 S,S N3 D2 P M1 G2 R1 S
88,Kokilaravam,S R1 M1 P D2 N3 S,S N3 D2 P M1 G2 R2 S
89,Chitramani,S R1 M1 P D2 N3 S,S N3 D2 P M1 G2 R1 S
90,Jnanachintamani,S R1 M1 D2 N3 S,S N3 D2 P M1 R1 S
91,Kowmari,S R1 G2 M1 P D2 S,S N3 D2 P M1 G2 R1 S
92,Shuddha Lalitha,S P M1 D2 N3 S,S N3 S D2 P M1 G2 R1 S
93,Vardhani,S G2 M1 P M1 P D2 N3 S,S N3 D2 P M1 G2 R1 S
