,Tala,Angas,Aksharas,Category
0,Chaachaputa,1-Guru 2-Laghus 1-Guru,26,Ashtothara shata(108) Talas
1,Shatpitaputrika,1-Pluta 1-Laghu 2-Gurus 1-Laghu 1-Pluta,50,Ashtothara shata(108) Talas
2,Sampadveshtaka,1-Pluta 3-Gurus 1-Pluta,48,Ashtothara shata(108) Talas
3,Udghatta,3-Gurus,24,Ashtothara shata(108) Talas
4,Adi,1-Laghu,4,Ashtothara shata(108) Talas
5,Darpana,2-Dhrutas 1-Guru,12,Ashtothara shata(108) Talas
6,Charchaari,2-Dhrutas 1-Anudhruta 1-Laghu 2-Dhrutas 1-Anudhruta 1-Laghu  2-Dhrutas 1-Anudhruta 1-Laghu  2-Dhrutas 1-Laghu 2-Dhrutas 1-Anudhruta 1-Laghu  2-Dhrutas 1-Laghu 2-Dhrutas 1-Anudhruta 1-Laghu  2-Dhrutas 1-Anudhruta 1-Laghu,72,Ashtothara shata(108) Talas
7,Shimhalilaa,1-Laghu 3-Dhrutas 1-Laghu,14,Ashtothara shata(108) Talas
8,Kandarpa,2-Dhrutas 1-Laghu 2-Gurus,24,Ashtothara shata(108) Talas
9,Simhavikrama,3-Gurus 1-Laghu 1-Pluta 1-Laghu  1-Guru 1-Pluta,64,Ashtothara shata(108) Talas
10,Sriranga,2-Laghus 1-Guru 1-Laghu 1-Pluta,32,Ashtothara shata(108) Talas
11,Rati Lila,1-Laghu 2-Gurus 1-Laghu,24,Ashtothara shata(108) Talas
12,Ranga Tala,4-Dhrutas 1-Guru,16,Ashtothara shata(108) Talas
13,Parikramaa,3-Laghus 2-Gurus,28,Ashtothara shata(108) Talas
14,Pratyanga,3-Gurus 2-Laghus,24,Ashtothara shata(108) Talas
15,Gaja Lila,4-Laghus 1-Anudhruta,17,Ashtothara shata(108) Talas
16,Tribhinna,1-Laghu 1-Guru 1-Pluta,24,Ashtothara shata(108) Talas
17,Viravikrama,1-Laghu 2-Dhrutas 1-Guru,16,Ashtothara shata(108) Talas
18,Hamsa Lila,2-Laghus 1-Anudhruta,9,Ashtothara shata(108) Talas
19,Varnabhina,2-Dhrutas 1-Laghu 1-Guru,16,Ashtothara shata(108) Talas
20,Rangadyotana,3-Gurus 1-Laghu 1-Pluta,40,Ashtothara shata(108) Talas
21,Rajachudamani,2-Dhrutas 3-Laghus 2-Dhrutas 1-Laghu  1-Guru,32,Ashtothara shata(108) Talas
22,Raja Tala,1-Guru 1-Pluta 2-Dhrutas 1-Guru 1-Laghu  1-pluta,48,Ashtothara shata(108) Talas
23,Simhavikridita,2-Laghus 1-Pluta 1-Guru 1-Laghu  1-Guru 1-Pluta 1-Laghu 1-Pluta,68,Ashtothara shata(108) Talas
24,Vanamaali,4-Dhrutas 1-Laghu 2-Dhrutas 1-Guru,24,Ashtothara shata(108) Talas
25,Chatusra Varna,2-Gurus 1-Laghu 2-Dhrutas 1-Guru,32,Ashtothara shata(108) Talas
26,Traysra Varna,1-Laghu 20Dhrutas 2-Laghus 1-Guru,24,Ashtothara shata(108) Talas
27,Misra Varna,4-Dhrutas 1-Anudhruta 4-Dhrutas 1-Anudhruta  4-Dhrutas 1-Anudhruta,27,Ashtothara shata(108) Talas
28,Ramgapradipa,2-Gurus 1-Laghu 1-Guru 1-Pluta,40,Ashtothara shata(108) Talas
29,Hamsanaada,2-Laghus 1-Pluta 2-Dhrutas 1-Guru,32,Ashtothara shata(108) Talas
30,Simbanaada,1-Laghu 2-Gurus 1-Laghu 1-Guru,32,Ashtothara shata(108) Talas
31,Mallikaamoda,2-Laghus 4-Dhrutas,16,Ashtothara shata(108) Talas
32,Sarabba Lila,2-Laghus 3-Dhrutas 2-Laghus,22,Ashtothara shata(108) Talas
33,Rangaabharana,2-Gurus 2-Laghus 1-Pluta,36,Ashtothara shata(108) Talas
34,Turanga Lila,2-Dhrutas 1-Laghu,8,Ashtothara shata(108) Talas
35,Simhanandana (The Longest Tala in 108 Tala Scheme),2-Gurus 1-Laghu 1-Pluta 1-Laghu  1-Guru 2-Dhrutas 2-Gurus 1-Laghu  1-Pluta 1-Laghu 1-Pluta 1Guru 2-Laghus  1-kakapada,128,Ashtothara shata(108) Talas
36,Jayasri,2-Gurus 2-Laghus 1-Guru,32,Ashtothara shata(108) Talas
37,Vijayaananda,2-Laghus 3-Gurus,32,Ashtothara shata(108) Talas
38,Prati Tala,1-Laghu 2-Dhrutas,8,Ashtothara shata(108) Talas
39,Dvitiya,1-Dhruta 1-Laghu 1-Dhruta,8,Ashtothara shata(108) Talas
40,Maakaranda,2-Dhrutas 3-Laghus 1-Guru,24,Ashtothara shata(108) Talas
41,Kirti,1-Guru 1-Laghu 1-Pluta 1-Guru  1-Laghu 1-Guru,48,Ashtothara shata(108) Talas
42,Vijaya,3-Gurus 1-Laghu 1-Guru,36,Ashtothara shata(108) Talas
